; Generated by mfdb 3.2.0
; -- data --
; year	step	area	vessel	number
1989	1	1	seine	199957657.847731
1989	2	1	seine	303404538.838932
1989	3	1	seine	78515361.4387335
1989	4	1	seine	11546955.0713607
1990	1	1	seine	346182244.474588
1990	2	1	seine	210525329.113497
1990	3	1	seine	120108618.279933
1990	4	1	seine	332530366.204971
1991	1	1	seine	351328902.281752
1991	2	1	seine	340602149.640253
1991	3	1	seine	49312629.1238427
1991	4	1	seine	47046960.6103867
1992	1	1	seine	159922575.756494
1992	2	1	seine	147661452.52824
1992	3	1	seine	45994064.6071614
1992	4	1	seine	127120
1993	1	1	seine	73682881.3932198
1993	2	1	seine	82135795.9304405
1993	3	1	seine	25916888
1993	4	1	seine	25596843.5700133
1994	1	1	seine	130034554.014052
1994	2	1	seine	217656254.958217
1994	3	1	seine	11525851.9072904
1994	4	1	seine	5163484
1995	1	1	seine	19768686
1995	2	1	seine	6933215.48128186
1995	3	1	seine	18107269
1995	4	1	seine	23842802.5145691
1996	1	1	seine	12784780
1996	2	1	seine	131867261.441263
1996	3	1	seine	426215876.777093
1996	4	1	seine	90010878.4449177
1997	1	1	seine	89790005.0371038
1997	2	1	seine	133756629.732351
1997	3	1	seine	318361300.316205
1997	4	1	seine	118745839.518675
1998	1	1	seine	338158909.089311
1998	2	1	seine	396886478.209593
1998	3	1	seine	344793206.229594
1998	4	1	seine	469039786.400276
1999	1	1	seine	320090479.802472
1999	2	1	seine	135647781.197567
1999	3	1	seine	132708122.133929
1999	4	1	seine	105354172.247733
2000	1	1	seine	94934247.2933555
2000	2	1	seine	69427996.7305825
2000	3	1	seine	90398846.0762534
2000	4	1	seine	98046118.0461146
2001	1	1	seine	116388957.293321
2001	2	1	seine	257020479.655354
2001	3	1	seine	218117733.557515
2001	4	1	seine	169306973.438865
2002	1	1	seine	229360149.089694
2002	2	1	seine	326163765.822393
2002	3	1	seine	213611139.404125
2002	4	1	seine	68691547.2988314
2003	1	1	seine	106463023.768065
2003	2	1	seine	232333313.536106
2003	3	1	seine	91476185.6722857
2003	4	1	seine	53229800.9768134
2004	1	1	seine	157879560.57981
2004	2	1	seine	167247350.200212
2004	3	1	seine	129593348.489647
2004	4	1	seine	89424184.502546
2005	1	1	seine	203597684.885537
2005	2	1	seine	251078169.147828
2005	3	1	seine	61497184.8415119
2005	4	1	seine	15524401.0891472
2006	1	1	seine	156899481.724501
2006	2	1	seine	299136087.10117
2006	3	1	seine	51229041.0502503
2006	4	1	seine	4078412.96688828
2007	1	1	seine	225304207.99332
2007	2	1	seine	237116980.134777
2007	3	1	seine	131194676.006743
2007	4	1	seine	39218249.1796353
2008	1	1	seine	51134930.6638487
2008	2	1	seine	65269766.97688
2008	3	1	seine	74055918.8540426
2008	4	1	seine	40614586.7525266
2009	1	1	seine	37316482.1777347
2009	2	1	seine	100609342.727731
2009	3	1	seine	68739752.9152089
2009	4	1	seine	13678034.9211799
2010	1	1	seine	6302698.55884512
2010	2	1	seine	154965205.776345
2010	3	1	seine	70007563.1985749
2010	4	1	seine	27249389.0186348
2011	1	1	seine	138476629.660979
2011	2	1	seine	217685467.982492
2011	3	1	seine	215194998.015756
2011	4	1	seine	58131126.7215705
2012	1	1	seine	122941224.630685
2012	2	1	seine	176832215.897684
2012	3	1	seine	73445864.0247973
2012	4	1	seine	2969224.99627847
2013	1	1	seine	48578745.0715735
2013	2	1	seine	155495581.584914
2013	3	1	seine	247628884.87207
2013	4	1	seine	38570864.3507618
2014	1	1	seine	213793569.517283
2014	2	1	seine	367082644.874821
2014	3	1	seine	286065084.648608
2014	4	1	seine	32046802.9944702
2015	1	1	seine	124742305.473914
2015	2	1	seine	235960504.7764
2015	3	1	seine	194743243.653849
2015	4	1	seine	122664188.329763
2016	1	1	seine	143233486.324486
2016	2	1	seine	185412989.487464
2016	3	1	seine	170348562.425953
2016	4	1	seine	83926740.3747193
2017	1	1	seine	116260007.200564
2017	2	1	seine	238729391.687198
2017	3	1	seine	153222921.748952
2017	4	1	seine	20285986.3324778
2018	1	1	seine	27304292.8796369
2018	2	1	seine	206949158.334946
2018	3	1	seine	99971322.869097
2018	4	1	seine	33158571.5980493
2019	1	1	seine	28630214
2019	2	1	seine	139035879
2019	3	1	seine	148275977.967018
2019	4	1	seine	146229024.530968
2020	1	1	seine	97038024.2775608
2020	2	1	seine	194314049.414618
2020	3	1	seine	222722476.674856
2020	4	1	seine	98451683.3724044
2021	1	1	seine	46606014.3900131
2021	2	1	seine	113137796.000028
